model_name,uses_covariates,train_size,input_size,horizon_size,offset_days,start_year,end_year,fit_time,predict_time
moirai.deterministic.small,False,0,365,7,-182,2000,2022,0.32,85.61
moirai.deterministic.base,False,0,365,7,-182,2000,2022,0.42,111.62
moirai.deterministic.large,False,0,365,7,-182,2000,2022,1.11,166.05
moirai.stochastic.small,False,0,365,7,-182,2000,2022,0.3,84.3
moirai.stochastic.base,False,0,365,7,-182,2000,2022,0.45,110.84
moirai.stochastic.large,False,0,365,7,-182,2000,2022,1.12,164.85
chronos.conservative.t5.tiny,False,0,365,7,-182,2000,2022,1.72,154.86
chronos.conservative.t5.mini,False,0,365,7,-182,2000,2022,0.98,156.92
chronos.conservative.t5.small,False,0,365,7,-182,2000,2022,0.86,193.32
chronos.conservative.t5.base,False,0,365,7,-182,2000,2022,0.88,335.94
chronos.conservative.t5.large,False,0,365,7,-182,2000,2022,1.4,714.88
chronos.conservative.bolt.tiny,False,0,365,7,-182,2000,2022,1.94,50.19
chronos.conservative.bolt.mini,False,0,365,7,-182,2000,2022,0.72,50.8
chronos.conservative.bolt.small,False,0,365,7,-182,2000,2022,0.66,57.66
chronos.conservative.bolt.base,False,0,365,7,-182,2000,2022,0.79,77.99
chronos.auto.t5.tiny,False,0,365,7,-182,2000,2022,0.26,152.24
chronos.auto.t5.mini,False,0,365,7,-182,2000,2022,0.34,152.04
chronos.auto.t5.small,False,0,365,7,-182,2000,2022,0.18,186.6
chronos.auto.t5.base,False,0,365,7,-182,2000,2022,0.15,302.01
chronos.auto.t5.large,False,0,365,7,-182,2000,2022,0.26,581.02
chronos.auto.bolt.tiny,False,0,365,7,-182,2000,2022,0.19,50.57
chronos.auto.bolt.mini,False,0,365,7,-182,2000,2022,0.16,50.67
chronos.auto.bolt.small,False,0,365,7,-182,2000,2022,0.16,57.55
chronos.auto.bolt.base,False,0,365,7,-182,2000,2022,0.15,78.29
chronos.stochastic.t5.tiny,False,0,365,7,-182,2000,2022,0.14,156.82
chronos.stochastic.t5.mini,False,0,365,7,-182,2000,2022,0.15,159.93
chronos.stochastic.t5.small,False,0,365,7,-182,2000,2022,0.14,201.69
chronos.stochastic.t5.base,False,0,365,7,-182,2000,2022,0.16,383.48
chronos.stochastic.t5.large,False,0,365,7,-182,2000,2022,0.25,848.6
chronos.stochastic.bolt.tiny,False,0,365,7,-182,2000,2022,0.25,50.51
chronos.stochastic.bolt.mini,False,0,365,7,-182,2000,2022,0.17,51.0
chronos.stochastic.bolt.small,False,0,365,7,-182,2000,2022,0.18,57.23
chronos.stochastic.bolt.base,False,0,365,7,-182,2000,2022,0.14,78.27
nhits.one.year.train,False,365,365,7,-182,2000,2022,18.71,4236.64
nbeats.one.year.train,False,365,365,7,-182,2000,2022,20.45,3565.75
nbeats.five.years.train,False,1825,365,7,-182,2000,2022,77.5,3907.25
nhits.one.year.train,True,365,365,7,-182,2000,2022,19.25,4614.94
nhits.five.years.train,False,1825,365,7,-182,2000,2022,76.3,4759.2
nhits.five.years.train,True,1825,365,7,-182,2000,2022,82.81,5171.24
